date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2022-07-28,2022,7,28,North America,USA,Vitamin,Vitamin C,13-25,355,62.63,4830,667,0
2021-05-28,2021,5,28,East Asia,South Korea,Chronic,Amlodipine,0-12,845,50.88,4330,493,1
2024-06-01,2024,6,1,Europe,France,Vitamin,Vitamin C,26-45,282,91.83,4788,404,0
2021-08-28,2021,8,28,Africa,Nigeria,Cough_Cold,Cetirizine,65+,252,52.07,4673,585,1
2024-12-31,2024,12,31,Europe,Germany,Chronic,Amlodipine,46-65,315,24.11,4852,515,0
2023-09-13,2023,9,13,Middle East,Saudi Arabia,Chronic,Metformin,0-12,167,25.39,4965,681,0
2023-07-30,2023,7,30,Europe,France,Antibiotic,Azithromycin,46-65,228,78.45,4767,341,0
2021-01-03,2021,1,3,Europe,UK,Antibiotic,Azithromycin,65+,485,64.98,4611,117,1
2020-01-21,2020,1,21,East Asia,South Korea,Cough_Cold,Cetirizine,65+,539,69.03,4332,185,1
2025-03-22,2025,3,22,North America,USA,Chronic,Metformin,0-12,328,74.29,4637,343,0
2022-11-11,2022,11,11,Oceania,New Zealand,Chronic,Metformin,0-12,206,85.52,4909,310,0
2021-11-27,2021,11,27,Middle East,Saudi Arabia,Antibiotic,Amoxicillin,13-25,362,52.68,4802,454,1
2020-08-15,2020,8,15,Oceania,New Zealand,Cough_Cold,Cough Syrup,0-12,580,19.97,4491,657,1
2021-08-05,2021,8,5,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,0-12,305,29.09,4579,229,1
2020-02-04,2020,2,4,South America,Argentina,Cough_Cold,Cetirizine,65+,637,23.94,4483,422,1
2021-07-06,2021,7,6,Europe,France,Cough_Cold,Cetirizine,13-25,429,47.21,4502,495,1
2024-04-30,2024,4,30,East Asia,South Korea,Antipyretic,Ibuprofen,13-25,446,25.28,4695,671,0
2025-02-12,2025,2,12,South America,Brazil,Antibiotic,Azithromycin,26-45,511,5.18,4350,511,0
2023-10-03,2023,10,3,Africa,Nigeria,Chronic,Amlodipine,0-12,156,45.76,5031,216,0
2025-05-08,2025,5,8,South America,Brazil,Chronic,Amlodipine,26-45,471,72.73,4542,642,0
2024-01-10,2024,1,10,Oceania,New Zealand,Antibiotic,Amoxicillin,13-25,246,62.51,4945,60,0
2021-01-06,2021,1,6,Africa,Kenya,Vitamin,Vitamin C,26-45,400,46.47,4670,132,1
2025-06-23,2025,6,23,Africa,Kenya,Vitamin,Multivitamin,46-65,393,66.44,4604,36,0
2021-07-09,2021,7,9,South Asia,India,Antipyretic,Paracetamol,0-12,474,12.25,4655,523,1
2024-01-02,2024,1,2,South America,Brazil,Vitamin,Multivitamin,26-45,488,53.59,4639,280,0
2023-09-27,2023,9,27,East Asia,Japan,Antipyretic,Ibuprofen,13-25,262,5.84,4699,251,0
2020-06-25,2020,6,25,Oceania,New Zealand,Chronic,Amlodipine,0-12,330,29.0,4737,91,1
2022-01-11,2022,1,11,South Asia,India,Cough_Cold,Cough Syrup,13-25,463,36.19,4697,599,0
2024-03-07,2024,3,7,South America,Brazil,Antibiotic,Amoxicillin,26-45,437,43.05,4674,229,0
2022-07-04,2022,7,4,East Asia,South Korea,Vitamin,Multivitamin,46-65,206,47.09,4820,358,0
2023-03-08,2023,3,8,South Asia,Bangladesh,Vitamin,Vitamin C,0-12,591,58.86,4484,595,0
2025-09-30,2025,9,30,South America,Brazil,Chronic,Amlodipine,26-45,321,93.63,4776,364,0
2020-03-13,2020,3,13,Africa,Nigeria,Antibiotic,Azithromycin,13-25,616,95.87,4316,475,1
2020-01-24,2020,1,24,Middle East,Saudi Arabia,Chronic,Metformin,26-45,836,21.47,4086,475,1
2022-07-27,2022,7,27,Africa,Nigeria,Chronic,Metformin,26-45,285,31.5,4815,295,0
2023-02-03,2023,2,3,Africa,Nigeria,Cough_Cold,Cetirizine,65+,561,79.54,4262,594,0
2024-11-23,2024,11,23,South America,Argentina,Antipyretic,Paracetamol,13-25,226,78.7,4587,91,0
2024-10-10,2024,10,10,Africa,Kenya,Antipyretic,Paracetamol,26-45,218,55.82,4694,438,0
2021-01-16,2021,1,16,East Asia,China,Antibiotic,Azithromycin,46-65,835,8.4,4089,302,1
2021-01-10,2021,1,10,South Asia,Bangladesh,Antipyretic,Paracetamol,13-25,704,45.92,4279,238,1
2020-05-26,2020,5,26,South America,Argentina,Vitamin,Vitamin C,13-25,732,58.93,4394,260,1
2021-09-28,2021,9,28,North America,USA,Vitamin,Multivitamin,65+,921,84.53,3970,717,1
2021-02-19,2021,2,19,Oceania,Australia,Vitamin,Multivitamin,65+,390,81.66,4489,126,1
2021-03-18,2021,3,18,South America,Brazil,Cough_Cold,Cetirizine,26-45,894,84.21,4090,653,1
2023-03-29,2023,3,29,East Asia,Japan,Vitamin,Vitamin C,46-65,383,99.24,4603,558,0
2023-01-17,2023,1,17,Europe,UK,Vitamin,Vitamin C,65+,487,27.4,4439,628,0
2024-12-04,2024,12,4,Middle East,Saudi Arabia,Antipyretic,Ibuprofen,0-12,253,95.2,4582,628,0
2025-01-12,2025,1,12,Europe,Germany,Vitamin,Multivitamin,0-12,398,39.43,4433,200,0
2023-01-20,2023,1,20,North America,Canada,Cough_Cold,Cough Syrup,46-65,481,8.88,4659,307,0
2023-06-01,2023,6,1,Africa,Kenya,Antibiotic,Amoxicillin,65+,298,19.76,4880,263,0
2023-03-07,2023,3,7,East Asia,Japan,Chronic,Amlodipine,0-12,676,93.94,4254,522,0
2023-07-04,2023,7,4,Oceania,Australia,Antipyretic,Paracetamol,65+,412,6.31,4463,136,0
2022-08-11,2022,8,11,Europe,UK,Vitamin,Multivitamin,13-25,281,12.03,4624,301,0
2025-03-27,2025,3,27,South America,Argentina,Chronic,Metformin,65+,514,80.97,4605,231,0
2020-12-25,2020,12,25,Middle East,Saudi Arabia,Cough_Cold,Cetirizine,46-65,581,76.34,4356,481,1
2020-06-26,2020,6,26,Middle East,UAE,Chronic,Amlodipine,0-12,474,48.57,4556,570,1
2020-02-22,2020,2,22,South Asia,Bangladesh,Chronic,Amlodipine,26-45,975,86.03,3914,579,1
2020-09-01,2020,9,1,North America,Canada,Vitamin,Vitamin C,26-45,261,9.95,4826,86,1
2022-01-04,2022,1,4,Middle East,UAE,Vitamin,Multivitamin,65+,420,14.29,4448,384,0
2022-03-01,2022,3,1,Europe,Germany,Chronic,Metformin,13-25,608,19.77,4499,305,0
2020-12-13,2020,12,13,Middle East,UAE,Antibiotic,Amoxicillin,46-65,385,69.21,4714,333,1
2024-11-27,2024,11,27,Europe,Germany,Antipyretic,Ibuprofen,0-12,388,97.11,4797,184,0
2021-03-23,2021,3,23,North America,USA,Vitamin,Vitamin C,13-25,1029,26.73,3913,554,1
2023-04-15,2023,4,15,South Asia,Bangladesh,Chronic,Metformin,26-45,629,10.84,4225,485,0
2024-12-26,2024,12,26,North America,Canada,Antipyretic,Ibuprofen,0-12,361,60.87,4472,660,0
2023-07-06,2023,7,6,Africa,Nigeria,Cough_Cold,Cetirizine,65+,305,55.64,4830,376,0
2022-04-11,2022,4,11,Middle East,Saudi Arabia,Antibiotic,Azithromycin,46-65,440,53.49,4405,586,0
2021-11-10,2021,11,10,North America,USA,Antibiotic,Azithromycin,13-25,339,72.42,4742,388,1
2020-08-01,2020,8,1,Europe,Germany,Cough_Cold,Cough Syrup,46-65,502,22.47,4631,466,1
2022-09-08,2022,9,8,Europe,France,Antibiotic,Azithromycin,46-65,287,78.19,4664,369,0
2025-08-06,2025,8,6,East Asia,South Korea,Antipyretic,Paracetamol,26-45,155,61.51,4818,390,0
2023-03-05,2023,3,5,South America,Argentina,Antibiotic,Amoxicillin,65+,434,51.64,4729,622,0
2025-02-23,2025,2,23,Africa,Nigeria,Antibiotic,Azithromycin,46-65,304,11.51,4672,242,0
2020-12-12,2020,12,12,North America,USA,Antibiotic,Azithromycin,13-25,778,88.07,4032,394,1
2022-05-15,2022,5,15,Europe,UK,Vitamin,Vitamin C,0-12,583,30.69,4597,716,0
2025-05-03,2025,5,3,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,412,42.96,4598,708,0
2024-10-30,2024,10,30,Africa,Nigeria,Vitamin,Vitamin C,13-25,146,46.74,4671,710,0
2021-10-17,2021,10,17,South Asia,Bangladesh,Cough_Cold,Cough Syrup,46-65,493,18.56,4682,303,1
2020-01-27,2020,1,27,Oceania,Australia,Antipyretic,Paracetamol,26-45,547,43.28,4540,509,1
2020-07-31,2020,7,31,South America,Argentina,Antipyretic,Ibuprofen,13-25,358,57.63,4795,418,1
2023-10-07,2023,10,7,East Asia,Japan,Cough_Cold,Cetirizine,26-45,169,93.6,4946,478,0
2025-03-23,2025,3,23,North America,USA,Antibiotic,Azithromycin,13-25,271,91.97,4725,62,0
2024-04-24,2024,4,24,North America,USA,Cough_Cold,Cetirizine,46-65,584,25.52,4471,380,0
2022-05-01,2022,5,1,Oceania,Australia,Chronic,Metformin,26-45,389,30.76,4677,485,0
2024-03-01,2024,3,1,Africa,Kenya,Cough_Cold,Cough Syrup,13-25,414,69.5,4765,100,0
2021-10-13,2021,10,13,East Asia,China,Antipyretic,Paracetamol,13-25,441,63.45,4709,410,1
2023-06-01,2023,6,1,South Asia,Sri Lanka,Chronic,Metformin,65+,333,44.58,4754,38,0
2020-12-06,2020,12,6,South America,Brazil,Vitamin,Multivitamin,0-12,449,16.34,4480,374,1
2025-01-17,2025,1,17,Africa,Kenya,Vitamin,Multivitamin,65+,446,47.32,4746,75,0
2022-10-01,2022,10,1,East Asia,Japan,Cough_Cold,Cetirizine,65+,254,91.66,4696,95,0
2020-10-16,2020,10,16,Europe,France,Antibiotic,Azithromycin,46-65,398,38.04,4583,531,1
2025-08-05,2025,8,5,South America,Argentina,Antibiotic,Amoxicillin,46-65,338,22.27,4833,327,0
2022-04-26,2022,4,26,South Asia,India,Cough_Cold,Cough Syrup,46-65,234,93.99,4887,115,0
2025-03-08,2025,3,8,East Asia,South Korea,Vitamin,Vitamin C,13-25,507,60.4,4585,220,0
2023-08-09,2023,8,9,Europe,UK,Cough_Cold,Cetirizine,46-65,241,79.52,4690,119,0
2022-07-30,2022,7,30,Middle East,UAE,Antipyretic,Paracetamol,65+,402,10.87,4611,482,0
2025-04-21,2025,4,21,South Asia,Sri Lanka,Chronic,Amlodipine,0-12,663,57.34,4448,306,0
2020-06-17,2020,6,17,South Asia,India,Chronic,Metformin,46-65,663,68.74,4522,113,1
2022-05-02,2022,5,2,Middle East,UAE,Chronic,Amlodipine,46-65,398,34.5,4762,458,0
2025-08-02,2025,8,2,North America,Canada,Vitamin,Multivitamin,46-65,383,49.98,4506,465,0
2025-04-27,2025,4,27,Europe,France,Antipyretic,Ibuprofen,0-12,442,65.92,4400,42,0
2020-10-20,2020,10,20,Europe,UK,Vitamin,Vitamin C,46-65,425,37.8,4376,89,1
2025-11-27,2025,11,27,North America,USA,Chronic,Metformin,26-45,171,12.65,4754,647,0
2020-03-24,2020,3,24,Africa,Nigeria,Vitamin,Vitamin C,0-12,668,40.72,4468,377,1
2024-01-29,2024,1,29,Oceania,Australia,Vitamin,Vitamin C,13-25,446,21.58,4641,651,0
2023-07-28,2023,7,28,North America,USA,Antipyretic,Paracetamol,46-65,238,80.17,4655,618,0
2020-01-23,2020,1,23,East Asia,China,Antibiotic,Amoxicillin,46-65,515,46.42,4485,99,1
2024-05-20,2024,5,20,Middle East,UAE,Antipyretic,Ibuprofen,13-25,354,91.92,4482,189,0
2021-07-03,2021,7,3,South Asia,India,Antibiotic,Azithromycin,0-12,279,67.63,4854,427,1
2022-04-03,2022,4,3,Europe,UK,Cough_Cold,Cetirizine,46-65,373,49.73,4532,249,0
2025-03-15,2025,3,15,South Asia,India,Antipyretic,Ibuprofen,26-45,542,83.61,4371,66,0
2024-10-25,2024,10,25,East Asia,China,Chronic,Metformin,26-45,133,29.11,4680,491,0
2023-11-12,2023,11,12,East Asia,Japan,Antipyretic,Paracetamol,26-45,317,13.84,4607,120,0
2020-04-09,2020,4,9,North America,Canada,Antipyretic,Ibuprofen,46-65,540,87.15,4261,612,1
2021-10-20,2021,10,20,North America,Canada,Chronic,Amlodipine,65+,503,66.47,4380,656,1
2020-09-25,2020,9,25,East Asia,Japan,Vitamin,Multivitamin,26-45,322,15.59,4593,71,1
2020-01-14,2020,1,14,South America,Brazil,Chronic,Metformin,26-45,651,50.58,4499,470,1
2025-12-04,2025,12,4,South America,Brazil,Antibiotic,Azithromycin,65+,446,6.14,4743,189,0
2025-04-10,2025,4,10,Middle East,UAE,Antibiotic,Amoxicillin,13-25,284,26.64,4750,33,0
2020-10-17,2020,10,17,Middle East,Saudi Arabia,Antipyretic,Paracetamol,46-65,427,8.33,4390,312,1
2025-05-22,2025,5,22,Middle East,UAE,Chronic,Metformin,13-25,540,95.31,4536,317,0
2023-11-25,2023,11,25,Middle East,UAE,Antibiotic,Azithromycin,13-25,334,52.55,4651,311,0
2024-12-08,2024,12,8,Europe,France,Cough_Cold,Cetirizine,46-65,377,69.53,4444,668,0
2024-09-02,2024,9,2,Oceania,New Zealand,Cough_Cold,Cetirizine,0-12,196,70.45,4862,695,0
2025-04-02,2025,4,2,North America,USA,Antibiotic,Amoxicillin,65+,619,82.9,4212,635,0
2020-04-29,2020,4,29,South America,Brazil,Antipyretic,Paracetamol,65+,491,64.89,4434,197,1
2025-07-21,2025,7,21,Middle East,Saudi Arabia,Vitamin,Multivitamin,65+,410,46.65,4465,523,0
2025-01-06,2025,1,6,East Asia,China,Vitamin,Multivitamin,0-12,532,68.66,4582,636,0
2022-11-27,2022,11,27,North America,Canada,Vitamin,Multivitamin,46-65,335,52.13,4540,146,0
2023-02-02,2023,2,2,North America,Canada,Antipyretic,Ibuprofen,65+,597,48.97,4567,207,0
2022-04-15,2022,4,15,South Asia,Bangladesh,Vitamin,Vitamin C,13-25,682,43.3,4462,589,0
2023-04-01,2023,4,1,Oceania,New Zealand,Chronic,Metformin,13-25,421,97.15,4667,613,0
2024-08-26,2024,8,26,Europe,Germany,Cough_Cold,Cetirizine,26-45,245,95.32,4815,507,0
2025-10-29,2025,10,29,South America,Brazil,Vitamin,Vitamin C,26-45,163,47.78,4943,363,0
2023-12-28,2023,12,28,South America,Brazil,Chronic,Amlodipine,26-45,373,74.06,4791,168,0
2024-10-11,2024,10,11,Europe,Germany,Chronic,Metformin,13-25,347,49.35,4738,67,0
2023-07-19,2023,7,19,South Asia,Sri Lanka,Antibiotic,Azithromycin,46-65,208,42.65,4888,375,0
2022-12-25,2022,12,25,South Asia,India,Vitamin,Multivitamin,13-25,420,59.17,4775,498,0
2021-09-14,2021,9,14,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,13-25,295,73.58,4528,713,1
2025-10-28,2025,10,28,Middle East,UAE,Antibiotic,Amoxicillin,26-45,265,66.68,4826,204,0
2021-10-15,2021,10,15,North America,Canada,Vitamin,Vitamin C,26-45,337,34.04,4542,261,1
2022-11-24,2022,11,24,North America,USA,Cough_Cold,Cough Syrup,26-45,269,69.92,4783,669,0
2020-11-04,2020,11,4,Africa,Kenya,Antipyretic,Paracetamol,0-12,567,86.27,4299,456,1
2024-07-13,2024,7,13,North America,Canada,Chronic,Metformin,65+,330,32.07,4651,642,0
2021-10-29,2021,10,29,Oceania,Australia,Cough_Cold,Cetirizine,26-45,228,47.82,4593,94,1
2023-11-22,2023,11,22,East Asia,Japan,Cough_Cold,Cough Syrup,26-45,226,68.44,4873,307,0
2021-08-02,2021,8,2,South America,Brazil,Antibiotic,Amoxicillin,0-12,534,85.99,4628,131,1
2022-02-16,2022,2,16,East Asia,Japan,Chronic,Amlodipine,26-45,319,64.7,4493,397,0
2025-10-06,2025,10,6,Middle East,UAE,Vitamin,Multivitamin,0-12,325,16.62,4666,508,0
2023-04-01,2023,4,1,Middle East,UAE,Vitamin,Vitamin C,65+,402,64.72,4663,365,0
2024-09-07,2024,9,7,Middle East,UAE,Vitamin,Vitamin C,65+,154,39.48,4677,533,0
2025-04-17,2025,4,17,South America,Brazil,Antibiotic,Azithromycin,0-12,627,87.68,4286,388,0
2025-12-22,2025,12,22,South Asia,Bangladesh,Antibiotic,Azithromycin,46-65,240,75.81,4886,528,0
2024-09-02,2024,9,2,North America,USA,Cough_Cold,Cough Syrup,13-25,265,45.07,4836,60,0
2022-09-04,2022,9,4,Oceania,Australia,Chronic,Metformin,0-12,220,18.44,4624,659,0
2021-10-17,2021,10,17,Europe,UK,Vitamin,Vitamin C,0-12,278,55.81,4809,475,1
2023-05-13,2023,5,13,Middle East,UAE,Antipyretic,Ibuprofen,46-65,469,75.4,4351,455,0
2021-09-27,2021,9,27,South America,Brazil,Antipyretic,Ibuprofen,26-45,279,27.44,4760,403,1
2020-03-03,2020,3,3,North America,USA,Antibiotic,Azithromycin,46-65,658,17.88,4444,197,1
2025-02-22,2025,2,22,East Asia,China,Antipyretic,Ibuprofen,0-12,387,20.73,4593,499,0
2020-09-06,2020,9,6,Middle East,Saudi Arabia,Chronic,Metformin,65+,373,81.54,4689,376,1
2021-12-05,2021,12,5,South America,Argentina,Chronic,Amlodipine,13-25,469,24.53,4452,213,1
2024-12-02,2024,12,2,East Asia,China,Chronic,Amlodipine,26-45,462,91.35,4521,504,0
2020-02-24,2020,2,24,North America,Canada,Cough_Cold,Cetirizine,13-25,588,97.59,4348,386,1
2023-06-22,2023,6,22,Africa,Nigeria,Antibiotic,Azithromycin,26-45,464,39.73,4623,84,0
2025-03-15,2025,3,15,South Asia,Bangladesh,Chronic,Amlodipine,13-25,496,56.23,4474,407,0
2022-04-04,2022,4,4,Oceania,New Zealand,Vitamin,Vitamin C,65+,529,74.13,4528,411,0
2025-09-28,2025,9,28,North America,Canada,Vitamin,Multivitamin,65+,239,30.85,4856,515,0
2024-09-29,2024,9,29,Middle East,UAE,Cough_Cold,Cetirizine,13-25,124,6.22,4767,220,0
2025-05-01,2025,5,1,East Asia,Japan,Vitamin,Multivitamin,13-25,371,27.86,4488,111,0
2022-06-14,2022,6,14,South Asia,India,Chronic,Metformin,0-12,482,51.36,4352,457,0
2023-05-11,2023,5,11,Europe,UK,Chronic,Metformin,65+,347,35.53,4614,715,0
2021-10-08,2021,10,8,Africa,Kenya,Vitamin,Multivitamin,26-45,506,50.69,4419,541,1
2022-02-20,2022,2,20,Africa,Kenya,Antibiotic,Azithromycin,0-12,2112,19.59,2960,616,0
2021-06-08,2021,6,8,Oceania,Australia,Vitamin,Multivitamin,65+,637,56.24,4173,586,1
2024-10-25,2024,10,25,Middle East,UAE,Vitamin,Multivitamin,0-12,306,90.89,4529,554,0
2025-03-09,2025,3,9,Europe,UK,Vitamin,Multivitamin,46-65,375,69.46,4607,418,0
2023-02-15,2023,2,15,South America,Brazil,Cough_Cold,Cough Syrup,13-25,641,72.3,4513,483,0
2022-07-06,2022,7,6,Africa,Nigeria,Antipyretic,Paracetamol,26-45,365,56.16,4675,242,0
2025-07-25,2025,7,25,Africa,Kenya,Cough_Cold,Cetirizine,46-65,363,91.7,4700,268,0
2023-05-05,2023,5,5,North America,Canada,Chronic,Amlodipine,26-45,503,66.58,4299,39,0
2021-01-24,2021,1,24,Middle East,Saudi Arabia,Cough_Cold,Cetirizine,13-25,816,21.91,4027,186,1
2023-03-27,2023,3,27,Africa,Nigeria,Vitamin,Vitamin C,65+,430,20.68,4543,42,0
2023-12-30,2023,12,30,South America,Argentina,Antibiotic,Azithromycin,26-45,421,15.78,4523,569,0
2023-04-02,2023,4,2,South America,Brazil,Vitamin,Vitamin C,46-65,218,27.31,4763,713,0
2022-11-25,2022,11,25,Oceania,Australia,Antipyretic,Paracetamol,13-25,406,50.66,4479,623,0
2021-01-27,2021,1,27,East Asia,Japan,Antipyretic,Ibuprofen,65+,925,14.31,4216,429,1
2024-10-16,2024,10,16,East Asia,Japan,Antibiotic,Amoxicillin,26-45,288,47.36,4872,472,0
2020-03-20,2020,3,20,Oceania,Australia,Antipyretic,Ibuprofen,65+,874,32.85,4114,539,1
2020-06-19,2020,6,19,Oceania,New Zealand,Vitamin,Multivitamin,26-45,438,26.55,4398,173,1
2021-04-11,2021,4,11,Africa,Kenya,Antipyretic,Paracetamol,26-45,6800,49.91,0,662,1
2023-08-20,2023,8,20,South Asia,Sri Lanka,Antipyretic,Paracetamol,26-45,1260,67.87,3798,260,0
2024-06-01,2024,6,1,South Asia,India,Chronic,Amlodipine,0-12,406,90.76,4793,707,0
2025-10-06,2025,10,6,North America,Canada,Antibiotic,Azithromycin,0-12,310,25.31,4502,89,0
2022-06-01,2022,6,1,Europe,UK,Chronic,Metformin,46-65,258,15.95,4550,165,0
2023-03-04,2023,3,4,South Asia,Bangladesh,Vitamin,Vitamin C,46-65,232,7.03,4904,68,0
2022-12-14,2022,12,14,South Asia,Sri Lanka,Vitamin,Multivitamin,65+,345,89.32,4603,91,0
2020-04-23,2020,4,23,Middle East,Saudi Arabia,Antibiotic,Azithromycin,46-65,629,33.45,4543,685,1
2020-07-11,2020,7,11,South America,Brazil,Vitamin,Vitamin C,26-45,1912,97.92,3112,156,1
2023-05-03,2023,5,3,East Asia,South Korea,Vitamin,Multivitamin,65+,333,7.68,4542,162,0
2022-05-25,2022,5,25,Europe,France,Antipyretic,Paracetamol,0-12,266,49.61,4535,445,0
2025-08-04,2025,8,4,Middle East,UAE,Antipyretic,Ibuprofen,26-45,251,91.74,4552,655,0
2022-09-16,2022,9,16,Oceania,Australia,Vitamin,Multivitamin,0-12,270,12.3,4697,658,0
2021-12-16,2021,12,16,North America,USA,Chronic,Amlodipine,13-25,626,25.0,4401,603,1
2023-06-09,2023,6,9,East Asia,China,Antibiotic,Azithromycin,65+,277,46.29,4785,461,0
2020-02-22,2020,2,22,North America,USA,Vitamin,Multivitamin,26-45,501,7.37,4678,99,1
2021-01-04,2021,1,4,Europe,UK,Antibiotic,Azithromycin,13-25,642,71.71,4197,125,1
2025-06-09,2025,6,9,North America,Canada,Cough_Cold,Cough Syrup,0-12,376,14.07,4553,687,0
2021-12-08,2021,12,8,South America,Brazil,Chronic,Amlodipine,65+,587,92.93,4479,91,1
2024-03-09,2024,3,9,Middle East,UAE,Antipyretic,Ibuprofen,46-65,443,54.06,4579,679,0
2021-02-12,2021,2,12,Europe,UK,Antipyretic,Paracetamol,46-65,1017,6.65,4056,720,1
2023-10-17,2023,10,17,North America,Canada,Antibiotic,Azithromycin,65+,294,95.04,4533,430,0
2023-08-10,2023,8,10,Oceania,Australia,Cough_Cold,Cetirizine,0-12,264,51.0,4814,507,0
2024-10-14,2024,10,14,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,26-45,132,77.61,5027,283,0
2024-10-14,2024,10,14,Europe,France,Antibiotic,Amoxicillin,13-25,261,77.56,4582,303,0
2023-02-16,2023,2,16,Middle East,UAE,Vitamin,Vitamin C,46-65,571,30.8,4272,191,0
2022-12-22,2022,12,22,Africa,Kenya,Antipyretic,Paracetamol,46-65,504,60.07,4645,351,0
2021-07-27,2021,7,27,Middle East,UAE,Vitamin,Vitamin C,46-65,520,71.63,4380,545,1
2020-11-19,2020,11,19,South Asia,Bangladesh,Antibiotic,Azithromycin,65+,408,97.6,4571,455,1
2025-01-28,2025,1,28,South Asia,Sri Lanka,Antibiotic,Azithromycin,0-12,577,78.21,4338,88,0
2025-02-03,2025,2,3,Oceania,Australia,Antibiotic,Amoxicillin,26-45,543,91.62,4514,578,0
2022-08-25,2022,8,25,Africa,Nigeria,Cough_Cold,Cough Syrup,26-45,316,43.29,4844,363,0
2020-04-17,2020,4,17,East Asia,Japan,Chronic,Amlodipine,46-65,1006,27.59,3804,433,1
2020-11-25,2020,11,25,East Asia,China,Cough_Cold,Cetirizine,13-25,265,60.28,4613,502,1
2021-04-03,2021,4,3,South America,Argentina,Antipyretic,Paracetamol,0-12,4326,84.27,639,415,1
2021-10-27,2021,10,27,South Asia,Sri Lanka,Vitamin,Vitamin C,46-65,316,57.32,4745,587,1
2020-08-13,2020,8,13,South America,Brazil,Antibiotic,Amoxicillin,65+,335,64.2,4674,343,1
2024-08-09,2024,8,9,South Asia,India,Chronic,Metformin,65+,187,98.95,4855,407,0
2024-11-16,2024,11,16,South Asia,India,Antibiotic,Amoxicillin,26-45,308,22.36,4708,316,0
2021-10-12,2021,10,12,South Asia,Bangladesh,Vitamin,Vitamin C,65+,384,37.28,4672,518,1
2020-02-16,2020,2,16,North America,USA,Antipyretic,Ibuprofen,46-65,741,59.06,4233,428,1
2022-10-07,2022,10,7,Oceania,Australia,Chronic,Amlodipine,26-45,247,52.19,4629,132,0
2022-07-29,2022,7,29,Europe,Germany,Vitamin,Multivitamin,0-12,320,98.23,4788,39,0
2022-01-22,2022,1,22,North America,Canada,Antibiotic,Amoxicillin,46-65,471,82.86,4333,120,0
2025-07-19,2025,7,19,Africa,Kenya,Cough_Cold,Cetirizine,46-65,258,57.55,4545,89,0
